"";"Aleksa Terzic";"Alexander Schlager";"Amar Dedic";"Kamil Piatkowski";"Karim Konate";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Maurits Kjaergaard";"Oscar Gloukh";"Oumar Solet";"Petar Ratkov";"Roko Simic";"Samson Baidoo";"Sekou Koita";"Strahinja Pavlovic"
"Aleksa Terzic";0;0;0;0;0.105;0.211;0;0;0.316;0.158;0;0.053;0;0.053;0;0.105
"Alexander Schlager";0.111;0;0.167;0;0;0.167;0;0;0.056;0;0.111;0;0;0.278;0;0.111
"Amar Dedic";0;0;0;0.091;0;0.152;0.03;0.182;0.061;0.061;0.061;0;0.091;0.212;0.03;0.03
"Kamil Piatkowski";0.25;0;0.25;0;0;0;0.25;0;0;0;0.25;0;0;0;0;0
"Karim Konate";0.222;0;0;0;0;0.111;0;0;0.111;0.444;0;0;0.111;0;0;0
"Lucas Gourna-Douath";0.098;0.098;0.171;0.024;0.049;0;0.024;0.073;0.171;0.049;0.024;0;0;0.122;0;0.098
"Luka Sucic";0;0;0.2;0;0;0.2;0;0;0.1;0;0.2;0;0;0;0.3;0
"Mads Bidstrup";0.05;0;0.2;0;0;0.15;0;0;0;0.1;0;0;0.05;0.3;0.05;0.1
"Maurits Kjaergaard";0.323;0.032;0.129;0;0.129;0.129;0.032;0.032;0;0.032;0;0.032;0.032;0.032;0;0.065
"Oscar Gloukh";0;0;0;0;0.143;0;0;0.071;0.429;0;0;0;0.143;0.214;0;0
"Oumar Solet";0.1;0.2;0;0;0;0.1;0.3;0;0.1;0;0;0;0;0;0;0.2
"Petar Ratkov";0.333;0;0;0;0;0;0;0;0.667;0;0;0;0;0;0;0
"Roko Simic";0.143;0;0;0;0;0.143;0;0.143;0.143;0.286;0;0;0;0;0;0.143
"Samson Baidoo";0;0.185;0.259;0;0;0.296;0;0.037;0.037;0;0;0;0.037;0;0;0.148
"Sekou Koita";0;0;0.25;0;0;0;0.75;0;0;0;0;0;0;0;0;0
"Strahinja Pavlovic";0.087;0.13;0.087;0;0;0.217;0;0.13;0.13;0.043;0;0;0.043;0.13;0;0
