"";"Anthony Racioppi";"Aurele Amenda";"Cedric Itten";"Cheikh Niasse";"Darian Males";"Filip Ugrinic";"Joel Monteiro";"Loris Benito";"Meschack Elia";"Mohamed Ali Camara";"Saidy Janko";"Ulisses Garcia"
"Anthony Racioppi";0;0.062;0;0.062;0;0;0.062;0.438;0;0.312;0;0.062
"Aurele Amenda";0.25;0;0;0;0;0;0;0;0;0;0;0.75
"Cedric Itten";0;0;0;0.2;0.2;0;0.2;0;0.2;0;0.2;0
"Cheikh Niasse";0.038;0;0;0;0.038;0.115;0.038;0.115;0.192;0.192;0.077;0.192
"Darian Males";0;0;0;0.2;0;0;0;0.4;0;0;0;0.4
"Filip Ugrinic";0.059;0;0.059;0.294;0.059;0;0.059;0;0.059;0;0.118;0.294
"Joel Monteiro";0;0;0;0.091;0.182;0.273;0;0;0.091;0;0.273;0.091
"Loris Benito";0.179;0;0.036;0.071;0;0.036;0;0;0.179;0.107;0;0.393
"Meschack Elia";0;0;0.071;0.143;0.143;0.071;0.071;0.071;0;0.071;0.071;0.286
"Mohamed Ali Camara";0.211;0.053;0;0.105;0.053;0.053;0.053;0.263;0;0;0.105;0.105
"Saidy Janko";0.056;0;0.222;0.167;0;0.056;0.389;0;0;0.111;0;0
"Ulisses Garcia";0.065;0;0.129;0.065;0.032;0.161;0.065;0.194;0.161;0.129;0;0
