"";"Christian Sorensen";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Oscar Hojlund";"Peter Ankersen";"Rasmus Falk";"Viktor Claesson"
"Christian Sorensen";0;0;0.143;0.286;0;0.143;0.429;0;0;0;0;0;0
"Denis Vavro";0;0;0;0;0.043;0.2;0.386;0.071;0.043;0;0.143;0.1;0.014
"Diogo Goncalves";0.05;0;0;0.2;0.15;0;0.2;0;0.1;0;0.05;0.15;0.1
"Elias Achouri";0;0.062;0.312;0;0.062;0;0.188;0.188;0;0;0;0.188;0
"Elias Jelert";0;0.065;0.226;0.097;0;0.032;0.29;0.065;0;0;0.032;0.161;0.032
"Kamil Grabara";0;0.44;0;0;0.04;0;0.4;0;0;0;0.04;0.08;0
"Kevin Diks";0.058;0.449;0.043;0.029;0.174;0.101;0;0;0.014;0;0.014;0.087;0.029
"Lukas Lerager";0;0.2;0.05;0.1;0.05;0;0;0;0.2;0;0.3;0;0.1
"Mohamed Elyounoussi";0;0.053;0.053;0;0.053;0;0;0.053;0;0.053;0.316;0.211;0.211
"Oscar Hojlund";0;0;0;0;0;0;0;0;1;0;0;0;0
"Peter Ankersen";0;0.404;0.019;0.019;0;0.077;0.019;0.058;0.077;0;0;0.25;0.077
"Rasmus Falk";0.04;0.12;0.14;0.04;0.06;0.04;0.16;0.1;0.06;0;0.16;0;0.08
"Viktor Claesson";0;0;0.179;0.143;0.036;0;0;0.107;0.214;0;0.071;0.25;0
