"";"Alhassan Yusuf";"Anthony Valencia";"Arbnor Muja";"Arthur Vermeeren";"Chidera Ejuke";"Jean Butez";"Jelle Bataille";"Jurgen Ekkelenkamp";"Michel-Ange Balikwisha";"Owen Wijndal";"Ritchie De Laet";"Soumaila Coulibaly";"Toby Alderweireld";"Vincent Janssen"
"Alhassan Yusuf";0;0;0.088;0.029;0.059;0.059;0.147;0.088;0.059;0;0.059;0.206;0.147;0.059
"Anthony Valencia";0;0;0;0.25;0;0;0.25;0;0;0;0;0.25;0.25;0
"Arbnor Muja";0;0;0;0.294;0;0;0;0.176;0.059;0;0.412;0;0;0.059
"Arthur Vermeeren";0.125;0;0.042;0;0;0.042;0;0.083;0.083;0.042;0.167;0.167;0.208;0.042
"Chidera Ejuke";0.143;0.143;0;0;0;0;0.143;0;0;0.429;0;0;0.143;0
"Jean Butez";0.161;0;0;0;0;0;0.097;0;0;0.032;0.065;0.484;0.161;0
"Jelle Bataille";0.156;0.031;0.031;0.094;0.031;0.094;0;0.062;0.156;0;0;0.25;0.062;0.031
"Jurgen Ekkelenkamp";0.167;0;0.167;0.167;0;0;0.167;0;0;0;0.167;0.167;0;0
"Michel-Ange Balikwisha";0.071;0;0.071;0;0;0;0.357;0;0;0.143;0;0.214;0;0.143
"Owen Wijndal";0.182;0.091;0;0;0.364;0;0;0;0.182;0;0;0.091;0;0.091
"Ritchie De Laet";0.115;0;0.308;0.231;0;0.115;0;0;0;0;0;0;0.154;0.077
"Soumaila Coulibaly";0.051;0;0;0.017;0;0.186;0.169;0.017;0.034;0.034;0;0;0.492;0
"Toby Alderweireld";0.067;0.022;0;0.067;0;0.4;0.022;0;0;0.022;0.067;0.333;0;0
"Vincent Janssen";0;0;0.429;0.143;0;0;0.143;0;0.143;0;0;0;0.143;0
