"";"Achraf Hakimi";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marquinhos";"Milan Skriniar";"Nordi Mukiele";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;0.043;0;0.021;0.064;0;0.021;0;0.149;0.021;0.043;0.447;0.043;0.043;0.106
"Bradley Barcola";0;0;0;0;0;0.2;0.2;0;0;0.4;0;0;0.2;0;0;0
"Fabian Ruiz";0;0.04;0;0.08;0;0.04;0.12;0;0;0.24;0.16;0.12;0;0;0;0.2
"Gianluigi Donnarumma";0.056;0;0.056;0;0;0;0;0;0;0.222;0.556;0;0;0;0.056;0.056
"Goncalo Ramos";0.5;0;0;0;0;0;0.125;0;0;0;0.25;0.125;0;0;0;0
"Kang-In Lee";0.042;0.042;0.125;0;0.042;0;0.208;0.042;0;0.167;0.042;0.125;0.083;0;0;0.083
"Kylian Mbappe";0.088;0.059;0.029;0;0.059;0.176;0;0.088;0;0.029;0;0.059;0.059;0;0.324;0.029
"Lucas Hernandez";0;0;0;0;0;0.028;0.306;0;0.056;0.056;0.389;0;0;0;0.167;0
"Manuel Ugarte";0.182;0;0;0;0;0;0;0.182;0;0.273;0.091;0;0.182;0;0.091;0
"Marquinhos";0.129;0.014;0.057;0.043;0.043;0;0.029;0;0.014;0;0.429;0.014;0.1;0;0;0.129
"Milan Skriniar";0.033;0;0.044;0.022;0;0.056;0.1;0.233;0.033;0.222;0;0.1;0.011;0;0.078;0.067
"Nordi Mukiele";0.125;0;0.042;0;0;0.167;0.125;0;0;0.125;0.292;0;0.083;0;0;0.042
"Ousmane Dembele";0.375;0.062;0;0;0.062;0;0.25;0;0;0;0;0;0;0.062;0.062;0.125
"Randal Kolo Muani";0;0;0;0;0;0;0.333;0;0;0.167;0;0;0.167;0;0.167;0.167
"Vitinha Ferreira";0.121;0;0;0;0;0;0.152;0.212;0.091;0.03;0.182;0;0.061;0.03;0;0.121
"Warren Zaire-Emery";0.189;0.027;0.081;0.027;0;0.027;0.081;0;0.027;0.189;0.108;0.081;0.108;0.027;0.027;0
