"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Eddie Nketiah";"Gabriel Jesus";"Gabriel Magalhaes";"Gabriel Martinelli";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Martin Odegaard";"Oleksandr Zinchenko";"Reiss Nelson";"Takehiro Tomiyasu";"William Saliba"
"Ben White";0;0.04;0.04;0.24;0;0;0;0.04;0.04;0.04;0.04;0.28;0;0.08;0;0.16
"Bukayo Saka";0;0;0;0.19;0;0.381;0.048;0.048;0;0;0.048;0.095;0;0;0.19;0
"David Raya";0;0;0;0.222;0;0;0.222;0;0;0.111;0;0.111;0;0;0.111;0.222
"Declan Rice";0.086;0.052;0;0;0;0.034;0.086;0.103;0.069;0;0.034;0.19;0.103;0;0.121;0.121
"Eddie Nketiah";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Gabriel Jesus";0.053;0.105;0.053;0.105;0;0;0.105;0;0;0;0.316;0.053;0.105;0.053;0.053;0
"Gabriel Magalhaes";0.022;0;0.044;0.2;0;0.022;0;0.156;0.067;0;0.089;0.044;0.156;0;0.022;0.178
"Gabriel Martinelli";0.048;0.048;0;0.095;0;0;0.143;0;0.238;0.048;0.095;0.095;0;0;0.048;0.143
"Jakub Kiwior";0.05;0;0;0.3;0;0.05;0.15;0.15;0;0;0.1;0.05;0;0.05;0;0.1
"Jorginho";0.083;0;0.083;0;0.083;0.167;0;0.083;0.083;0;0;0.167;0;0.167;0;0.083
"Kai Havertz";0;0.038;0;0.115;0;0;0.231;0.308;0;0.038;0;0.115;0.154;0;0;0
"Martin Odegaard";0.077;0.077;0;0.179;0;0.051;0.128;0;0.051;0.077;0.026;0;0.051;0.026;0.103;0.154
"Oleksandr Zinchenko";0;0;0.08;0.28;0;0.12;0.12;0.08;0;0;0.08;0.12;0;0;0.04;0.08
"Reiss Nelson";0.5;0;0.167;0;0;0;0;0;0;0;0;0.333;0;0;0;0
"Takehiro Tomiyasu";0;0.35;0.05;0.2;0;0.1;0.05;0;0;0;0.05;0.2;0;0;0;0
"William Saliba";0.103;0.051;0.154;0.154;0;0.026;0.282;0.026;0.026;0.051;0.026;0.051;0.026;0;0.026;0
