"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Hector Fort";"Ilkay Gundogan";"Inaki Pena";"Joao Cancelo";"Jules Kounde";"Lamine Yamal";"Marc Casado";"Marc Guiu";"Oriol Romeu";"Pedri";"Robert Lewandowski";"Sergi Roberto"
"Alex Balde";0;0.254;0;0.237;0;0.051;0.034;0;0.068;0.017;0.051;0;0.068;0.051;0.034;0.136
"Andreas Christensen";0.2;0;0;0.133;0;0.067;0.04;0.013;0.253;0.013;0.067;0;0.08;0.027;0.013;0.093
"Fermin Lopez";0;0;0;0.231;0.077;0;0;0;0.077;0.385;0;0;0.077;0;0.154;0
"Ferran Torres";0.189;0.108;0.027;0;0;0.135;0;0.027;0.081;0.135;0.027;0;0.027;0.027;0.081;0.135
"Hector Fort";0;0.037;0.074;0.037;0;0;0.037;0;0.259;0.259;0;0;0.259;0;0;0.037
"Ilkay Gundogan";0.03;0.121;0;0.121;0;0;0.03;0.303;0.121;0.121;0.03;0;0;0.121;0;0
"Inaki Pena";0;0.278;0;0;0.056;0.056;0;0;0.333;0;0.056;0;0.167;0;0;0.056
"Joao Cancelo";0.038;0;0;0.077;0;0.154;0;0;0.077;0.308;0.077;0;0;0.231;0;0.038
"Jules Kounde";0;0.244;0.013;0.026;0.179;0.077;0.064;0.038;0;0.038;0.026;0.013;0.141;0.026;0.026;0.09
"Lamine Yamal";0.054;0.027;0.081;0.162;0.108;0.108;0;0.081;0.081;0;0;0.027;0.108;0.108;0;0.054
"Marc Casado";0.067;0.133;0;0.133;0;0;0;0;0.333;0.133;0;0;0;0.2;0;0
"Marc Guiu";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Oriol Romeu";0.1;0.2;0.075;0.025;0.15;0;0;0;0.275;0;0;0;0;0;0.025;0.15
"Pedri";0.136;0.182;0;0.136;0;0.136;0;0.182;0.045;0.091;0;0.045;0;0;0;0.045
"Robert Lewandowski";0.167;0.083;0.083;0.083;0;0;0;0;0.083;0.417;0;0;0;0.083;0;0
"Sergi Roberto";0.3;0.1;0;0.1;0.025;0.025;0.025;0.025;0.175;0.05;0;0;0.125;0;0.05;0
