"";"Andreas Cornelius";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Jordan Larsson";"Kamil Grabara";"Kevin Diks";"Magnus Mattsson";"Mohamed Elyounoussi";"Rasmus Falk";"Scott McKenna";"Viktor Claesson"
"Andreas Cornelius";0;0;0;0;0;0;0;0;0;0;1;0;0
"Denis Vavro";0;0;0;0;0;0;0.273;0.182;0;0.273;0.091;0.091;0.091
"Diogo Goncalves";0;0;0;0.333;0.111;0;0;0.222;0;0;0.111;0.111;0.111
"Elias Achouri";0.143;0;0;0;0;0;0;0.143;0;0.286;0.286;0;0.143
"Elias Jelert";0;0.286;0;0.143;0;0;0.071;0;0.143;0;0.286;0;0.071
"Jordan Larsson";0;0;0;0;0;0;0;0;0;0.5;0;0.5;0
"Kamil Grabara";0;0.067;0;0.067;0;0;0;0.4;0;0;0.133;0.333;0
"Kevin Diks";0;0.077;0.077;0;0.308;0;0.077;0;0.077;0;0.154;0.231;0
"Magnus Mattsson";0;0.167;0;0;0.333;0;0;0.167;0;0.167;0.167;0;0
"Mohamed Elyounoussi";0;0;0;0;0.4;0;0;0;0.2;0;0;0.2;0.2
"Rasmus Falk";0.062;0.125;0.062;0.062;0.188;0.062;0.062;0;0.062;0.188;0;0.125;0
"Scott McKenna";0.059;0.059;0.118;0;0.176;0;0.176;0.059;0.176;0;0.118;0;0.059
"Viktor Claesson";0;0;0;0.25;0.25;0;0;0;0;0.5;0;0;0
