"";"Dayot Upamecano";"Eric Choupo-Moting";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Matthijs De Ligt";"Noussair Mazraoui";"Raphael Guerreiro";"Thomas Muller"
"Dayot Upamecano";0;0;0.026;0.039;0.145;0.184;0.079;0.066;0.092;0;0;0.263;0;0.105
"Eric Choupo-Moting";0;0;0.5;0;0;0;0;0;0;0;0;0;0.5;0
"Harry Kane";0;0;0;0.167;0.25;0;0.083;0.083;0;0;0;0.25;0;0.167
"Jamal Musiala";0.021;0.021;0.042;0;0.188;0.146;0.042;0.021;0.042;0.021;0.062;0.042;0.25;0.104
"Joshua Kimmich";0.204;0;0.032;0.086;0;0.183;0.097;0.032;0.022;0;0.011;0.108;0.204;0.022
"Kim Min-jae";0.159;0;0.023;0.125;0.182;0;0.068;0;0.057;0;0.102;0.011;0.273;0
"Leon Goretzka";0.137;0;0.039;0.078;0.294;0.098;0;0.059;0;0;0;0.118;0.098;0.078
"Leroy Sane";0.097;0;0.097;0.032;0.226;0;0.194;0;0.032;0;0.032;0.065;0.129;0.097
"Manuel Neuer";0.304;0;0;0.043;0.043;0.391;0.043;0;0;0.043;0.043;0.087;0;0
"Mathys Tel";0;0;0;0.25;0;0.25;0;0;0;0;0.5;0;0;0
"Matthijs De Ligt";0;0;0;0.04;0.12;0.4;0;0;0.04;0;0;0.36;0;0.04
"Noussair Mazraoui";0.262;0.015;0.031;0.046;0.108;0.031;0.077;0.154;0;0;0.092;0;0;0.185
"Raphael Guerreiro";0.014;0;0;0.26;0.274;0.137;0.123;0.068;0.041;0.055;0;0.014;0;0.014
"Thomas Muller";0.206;0;0.088;0.118;0.147;0;0.029;0.176;0.029;0;0;0.176;0.029;0
