"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Danilo Cataldi";"Elseid Hysaj";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luis Alberto";"Manuel Lazzari";"Mario Gila";"Matteo Guendouzi";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0.143;0.057;0.114;0;0;0.057;0.171;0;0.086;0;0.086;0.171;0;0.086;0.029
"Alessio Romagnoli";0.041;0;0.02;0;0.184;0.102;0.02;0;0.122;0.102;0.02;0.224;0.02;0.143;0;0
"Ciro Immobile";0;0;0;0;0.111;0;0.444;0.111;0;0.222;0;0.111;0;0;0;0
"Daichi Kamada";0;0;0;0;0.5;0;0;0;0;0;0;0;0.25;0;0.25;0
"Danilo Cataldi";0.097;0.226;0.065;0.032;0;0.032;0.129;0.032;0;0.161;0.032;0.097;0.032;0.065;0;0
"Elseid Hysaj";0;0.286;0.143;0;0.048;0;0.286;0;0.048;0.19;0;0;0;0;0;0
"Felipe Anderson";0.086;0.029;0.057;0;0.086;0.114;0;0;0.057;0.343;0.114;0.029;0.029;0.057;0;0
"Gustav Isaksen";0.143;0;0.214;0;0;0;0;0;0;0.143;0;0.071;0.429;0;0;0
"Ivan Provedel";0.08;0.24;0;0;0;0.04;0;0.04;0;0;0.04;0.48;0.04;0;0.04;0
"Luis Alberto";0.088;0.147;0.088;0;0.088;0.059;0.235;0.029;0.029;0;0;0.088;0.147;0;0;0
"Manuel Lazzari";0;0;0;0;0.083;0;0.25;0.083;0;0;0;0.25;0.083;0.25;0;0
"Mario Gila";0.152;0.174;0.022;0;0.152;0.043;0.022;0.022;0.109;0.065;0.065;0;0.174;0;0;0
"Matteo Guendouzi";0.129;0.065;0.065;0.032;0.065;0;0.097;0.161;0;0.065;0.032;0.194;0;0.065;0;0.032
"Patric Gil";0.071;0.357;0;0;0.143;0;0.214;0;0;0;0.071;0;0.143;0;0;0
"Pedro Rodriguez";0.25;0;0;0;0.25;0;0;0;0;0;0;0.25;0.25;0;0;0
"Taty Castellanos";0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0
