"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Jan Oblak";"Koke";"Marcos Llorente";"Mario Hermoso";"Memphis Depay";"Nahuel Molina";"Pablo Barrios ";"Rodrigo de Paul";"Rodrigo Riquelme";"Samuel Lino";"Stefan Savic"
"Alvaro Morata";0;0;0.2;0.067;0;0.067;0.267;0.067;0;0;0;0.267;0;0.067;0
"Angel Correa";0;0;0;0;0;0.2;0.1;0;0.1;0;0.2;0;0;0;0.4
"Antoine Griezmann";0.175;0;0;0.025;0;0.125;0.075;0.175;0.075;0.025;0;0.075;0.1;0.125;0.025
"Axel Witsel";0.023;0;0.047;0;0.093;0.14;0;0.349;0;0.07;0.047;0.023;0;0;0.209
"Jan Oblak";0;0;0;0.312;0;0;0.062;0.188;0;0.25;0.062;0;0;0;0.125
"Koke";0.033;0.033;0.1;0.1;0;0;0.05;0.233;0.033;0.05;0.033;0.2;0.033;0.033;0.067
"Marcos Llorente";0;0.086;0.114;0.029;0.029;0.171;0;0.029;0.029;0.257;0.029;0.114;0.029;0;0.086
"Mario Hermoso";0.033;0;0.183;0.183;0.033;0.217;0.033;0;0;0;0;0.017;0.067;0.2;0.033
"Memphis Depay";0;0.111;0.222;0;0;0.333;0;0.111;0;0;0;0;0.111;0;0.111
"Nahuel Molina";0;0;0.094;0;0;0.25;0.25;0;0;0;0;0.281;0;0;0.125
"Pablo Barrios ";0;0;0;0;0;0;0.429;0.143;0.143;0;0;0;0.143;0;0.143
"Rodrigo de Paul";0.079;0;0.105;0.026;0;0.132;0.105;0.132;0;0.211;0;0;0;0.053;0.158
"Rodrigo Riquelme";0;0.1;0.1;0.2;0;0.1;0;0.4;0.1;0;0;0;0;0;0
"Samuel Lino";0;0;0.24;0.12;0;0.32;0;0.2;0;0;0;0.08;0;0;0.04
"Stefan Savic";0;0.071;0;0.071;0.071;0.143;0.071;0.071;0.024;0.19;0.024;0.214;0;0.048;0
