"";"Aleksandar Pavlovic";"Alphonso Davies";"Eric Choupo-Moting";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Konrad Laimer";"Leroy Sane";"Manuel Neuer";"Matthijs De Ligt";"Noussair Mazraoui";"Serge Gnabry";"Thomas Muller"
"Aleksandar Pavlovic";0;0.018;0;0.196;0;0.054;0.161;0;0.286;0.018;0;0.054;0.214;0;0
"Alphonso Davies";0.143;0;0;0;0.143;0.214;0.143;0;0.143;0;0;0;0.214;0;0
"Eric Choupo-Moting";0.333;0;0;0.667;0;0;0;0;0;0;0;0;0;0;0
"Eric Dier";0.177;0.032;0;0;0;0.113;0.065;0;0.129;0;0.129;0.145;0.21;0;0
"Harry Kane";0;0.333;0;0;0;0;0;0;0;0.333;0;0;0.333;0;0
"Jamal Musiala";0.192;0.154;0;0;0.154;0;0.038;0;0.077;0.077;0;0.077;0.154;0.077;0
"Joshua Kimmich";0.128;0.021;0.021;0.085;0.021;0.064;0;0.021;0.255;0.191;0.064;0.085;0.043;0;0
"Kim Min-jae";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Konrad Laimer";0.178;0;0.022;0.178;0;0.067;0.289;0;0;0.067;0;0.178;0;0;0.022
"Leroy Sane";0;0.071;0;0.071;0;0.143;0.429;0;0.286;0;0;0;0;0;0
"Manuel Neuer";0.048;0;0;0.476;0;0;0.095;0;0.095;0;0;0.143;0.143;0;0
"Matthijs De Ligt";0.065;0;0.032;0.226;0;0;0.258;0;0.032;0.129;0.161;0;0.097;0;0
"Noussair Mazraoui";0.311;0.133;0;0.311;0;0.111;0;0;0.022;0;0.022;0.022;0;0.067;0
"Serge Gnabry";0;0;0;0.4;0;0;0;0;0;0;0;0;0.6;0;0
"Thomas Muller";0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0
